Line,Construction,type,psr,psr.def,psr.pron,psr.anim,psm,psm.pron,psm.anim
Mum was at Whare Warenana Wharenana that was the name of the nursing home .,the name of the nursing home .,OF,the nursing home,Def,n,Inanim,the name,n,Inanim
high as the bottom of that blind and came right out it was a big . and he made us a .,the bottom of that blind,OF,that blind,Def,n,Inanim,the bottom,n,Inanim
and . visits to granddad's office always took a long time .,granddad's office,S,granddad,Def-pn,n,Anim,office,n,Inanim
for a while we were in partnership with . my husband's brothers <mmm>,my husband's brothers,S,my husband,Def,n,Anim,brothers,n,Anim
Ken's family's always been . in Ranfurly or around Ranfurly . yes . <yep> . <yeah> mmm mmm <mmm> .,Ken's,S,Ken,Def-pn,n,Anim,family,n,Anim
except maybe the the ah manager of a of a shop or something like that who,the ah manager of a of a shop,OF,a shop,Indef,n,Inanim,the manager,n,Anim
yes . yes most definitely it was the morning it was the start of the day .,the start of the day .,OF,the day,Def,n,Inanim,the start,n,Inanim
um very much man of the house -,man of the house -,OF,the house,Def,n,Inanim,man,n,Anim
it was a belting up with a belt too the buckle end of the belt sometimes .,the buckle end of the belt,OF,the belt,Def,n,Inanim,the buckle end,n,Inanim
um grandma and grandad ma mum's parents were in Nelson .,mum's parents,S,mum,Def-pn,n,Anim,parents,n,Anim
and there's a seat up there it's the very very centre of New Zealand .,the very very centre of New Zealand .,OF,New Zealand,Def-pn,n,Inanim,the very centre,n,Inanim
in the centre of New Zealand . and um . but he was um .,the centre of New Zealand .,OF,New Zealand,Def-pn,n,Inanim,the centre,n,Inanim
and ahh that that was growing low down on stones . the ridge tilings of the of the area -,the ridge tilings of the of the area -,OF,the area,Def,n,Inanim,the ridge tilings,n,Inanim
the light of my life was watching funerals going past - /oh,the light of my life,OF,my life,Def,n,Inanim,the light,n,Inanim
ah arithmetic periods and then the curse of my life was the sewing periods <> .,the curse of my life,OF,my life,Def,n,Inanim,the curse,n,Inanim
by the time we got to the end the end of the week anything but <>,the end of the week,OF,the week,Def,n,Inanim,the end,n,Inanim
the drop of a hat I can't recall - /yes/,the drop of a hat,OF,a hat,Indef,n,Inanim,the drop,n,Inanim
and scrub the old post down the bottom of the hill .,the bottom of the hill .,OF,the hill,Def,n,Inanim,the bottom,n,Inanim
bear the sight of blood they were like their father .,the sight of blood,OF,blood,Indef,n,Inanim,the sight,n,Inanim
be ill or faint with the sight of blood but Gill was like me .,the sight of blood,OF,blood,Indef,n,Inanim,the sight,n,Inanim
that are like my side . they're like Mum's Irish side .,Mum's Irish side .,S,Mum,Def-pn,n,Anim,Irish side,n,Inanim
no . no we lived you see we lived in the centre of the farm .  and,the centre of the farm .,OF,the farm,Def,n,Inanim,the centre,n,Inanim
and before that ahh at we had an aunt Mum's younger sister one of her younger sisters lived in town,Mum's younger sister,S,Mum,Def-pn,n,Anim,younger sister,n,Anim
ahh Dad's brother was a member of Parliament .,Dad's brother,S,Dad,Def-pn,n,Anim,brother,n,Anim
Dunsandel he said . that's one of old Jack Jones's yarns,old Jack Jones's yarns,S,old Jack Jones,Def-pn,n,Anim,yarns,n,Inanim
and Jack Upston said oh that would be there must be someone from Dunsandel that's one of old Jack Jones's yarns,old Jack Jones's yarns,S,old Jack Jones,Def-pn,n,Anim,yarns,n,Inanim
and you see Uncle's land went right over .,Uncle's land,S,Uncle,Def-pn,n,Anim,land,n,Inanim
ahh then there was another family Paris's . lived ahh down at the end of the road .,the end of the road .,OF,the road,Def,n,Inanim,the end,n,Inanim
and each one of us had one of those . then we went up in tiers . right up to the back of the,the back of the room,OF,the room,Def,n,Inanim,the back,n,Inanim
and Miss Christie used to have a form along the front of the fire . we were allowed to take our slippers .,the front of the fire .,OF,the fire,Def,n,Inanim,the front,n,Inanim
err at the beginning of the year and I read that like a story book . I loved it . I didn't like geography,the beginning of the year,OF,the year,Def,n,Inanim,the beginning,n,Inanim
and we had slates and round the ri wooden frame of the slates we used to scrub them .,the ri wooden frame of the slates,OF,the slates,Def,n,Inanim,the wooden frame,n,Inanim
and I see the children of today doing it too at school,the children of today,OF,today,Def,n,Inanim,the children,n,Anim
yes <mmm> and err we went over the last day of term across here,the last day of term,OF,term,Indef,n,Inanim,the last day,n,Inanim
some of the um moulding of the animals and things . really clever .,the um moulding of the animals,OF,the animals,Def,n,Inanim,the moulding,n,Inanim
and pop them in the leaves of the book . then we'd have a little pin-cushion and tie it on our hand,the leaves of the book .,OF,the book,Def,n,Inanim,the leaves,n,Inanim
destroyed them it was just the fun of creating them,the fun of creating them,OF,creating them,Indef,n,Inanim,the fun,n,Inanim
um . mum used to put a little ah face on the end of the peg and then we'd make little bonnets . un .,the end of the peg,OF,the peg,Def,n,Inanim,the end,n,Inanim
she will do it if she wants to . but she said when I married Kerry's father I wasn't a Catholic,Kerry's father,S,Kerry,Def-pn,n,Anim,father,n,Anim
and one the um school some of the girls at the school made up their mind they'd walk to the top of Maungatua,the top of Maungatua,OF,Maungatua,Def-pn,n,Inanim,the top,n,Inanim
we were the . we were the son's children and,the son's children,S,the son,Def,n,Anim,children,n,Anim
mum's mother died when she was 40,mum's mother,S,mum,Def-pn,n,Anim,mother,n,Anim
my aunt err my mother's ss sister mum was the eldest of the family,the eldest of the family,OF,the family,Def,n,Inanim,the eldest,n,Anim
they were great big blue gums at the top of the hill . there's a shop up there now,the top of the hill .,OF,the hill,Def,n,Inanim,the top,n,Inanim
don't think it's right . it's not the colour of the old early Victorian houses .,the colour of the old early Victorian houses .,OF,the old early Victorian houses,Def,n,Inanim,the colour,n,Inanim
and I used to leave my father's collars .,my father's collars .,S,my father,Def,n,Anim,collars,n,Inanim
there was a little Chinaman's shop on the corner there was a fruit shop and then this little Chinaman's shop and you could hear them,a little Chinaman's shop,S,a little Chinaman,Indef,n,Anim,shop,n,Inanim
there was a little Chinaman's shop on the corner there was a fruit shop and then this little Chinaman's shop and you could hear them,this little Chinaman's shop,S,this little Chinaman,Def,n,Anim,shop,n,Inanim
now my dad aah worked in a grocer's shop in Carol Street .,a grocer's shop,S,a grocer,Indef,n,Anim,shop,n,Inanim
and I think I've got a photo of him . um . in the grocer's ahm cart .,the grocer's ahm cart .,S,the grocer,Def,n,Anim,cart,n,Inanim
there was a doctor's wife used to go to that shop,a doctor's wife,S,a doctor,Indef,n,Anim,wife,n,Anim
Tweedy's farm . her father owned that . all that ground was their farm and err they now it's all broken,Tweedy's farm .,S,Tweedy,Def-pn,n,Anim,farm,n,Inanim
oh well well he - died at the end of the - his eighties I think - ninety I think I've .,the end of the - his eighties,OF,his eighties,Def,n,Inanim,the end,n,Inanim
and then . with us . there were the . the managers . manager and the manager's wife and the .,the manager's wife,S,the manager,Def,n,Anim,wife,n,Anim
which two of. uncle Ants'. children won too the walking race at college ?,uncle Ants'. children,S,uncle Ants,Def-pn,n,Anim,children,n,Anim
not the bad ones. ah you had its. lovely picnic at the end of the year. it spurred us on. no we were just had to hold ourselves up and -,the end of the year.,OF,the year,Def,n,Inanim,the end,n,Inanim
well just by the skin of me teeth but I can manage I got enough marks for to get me into high school,the skin of me teeth,OF,me teeth,Def,n,Inanim,the skin,n,Inanim
but I was brought up . yes and and my father got the lease of a farm here .,the lease of a farm,OF,a farm,Indef,n,Inanim,the lease,n,Inanim
and it was the middle of winter and ah .,the middle of winter,OF,winter,Indef,n,Inanim,the middle,n,Inanim
but anyway I got a job in a mechanic's shop then,a mechanic's shop,S,a mechanic,Indef,n,Anim,shop,n,Inanim
and I said to the boss about it and he said well go on take a fortnight's holiday,a fortnight's holiday,S,a fortnight,Indef,n,Inanim,holiday,n,Inanim
the the song that that the theory of the song was that um .,the theory of the song,OF,the song,Def,n,Inanim,the theory,n,Inanim
I was invited to a birthday party of a neighbour's daughter .,a neighbour's daughter .,S,a neighbour,Indef,n,Anim,daughter,n,Anim
that that was the name of the song I dunno if you've ever come across it .,the name of the song,OF,the song,Def,n,Inanim,the name,n,Inanim
. all the um . and all the . romantic history . of Scotland,the . romantic history . of Scotland,OF,Scotland,Def-pn,n,Inanim,the romantic history,n,Inanim
she'd al and of course . ah my friends would come and Hyacinth's friends would come -,Hyacinth's friends,S,Hyacinth,Def-pn,n,Anim,friends,n,Anim
we all the boys of the ah the towns used to play marbles -,the boys of the ah the towns,OF,the towns,Def,n,Inanim,the boys,n,Anim
the stoppers of the lemonade bottles those days were . a marble -,the stoppers of the lemonade bottles,OF,the lemonade bottles,Def,n,Inanim,the stoppers,n,Inanim
I forget the name of the little cameras they there was a name for them . mmm -,the name of the little cameras,OF,the little cameras,Def,n,Inanim,the name,n,Inanim
it might be . it might be hidden under a chair or seat the leg of a chair or something -  but,the leg of a chair,OF,a chair,Indef,n,Inanim,the leg,n,Inanim
Patricia Toomey's Sister would say .,Patricia Toomey's Sister,S,Patricia Toomey,Def-pn,n,Anim,Sister,n,Anim
and . my . my niece Cynthia that's in Dunedin now . my sister's little child -   and,my sister's little child -,S,my sister,Def,n,Anim,little child,n,Anim
and there was ah - a lovable lovely grocer's shop next to A and T Engels .,a lovable lovely grocer's shop,S,a lovable lovely grocer,Indef,n,Anim,shop,n,Inanim
in fact it used to my father's hotel the Sussex Hotel -,my father's hotel,S,my father,Def,n,Anim,hotel,n,Inanim
what was the name of the - the woman ? Mrs something - -,the name of the - the woman ?,OF,the woman,Def,n,Anim,the name,n,Inanim
there's a cafe there now . what's the name of that cafe up <um> in Smith Street ?,the name of that cafe up <um> in Smith Street ?,OF,that cafe up in Smith Street,Def,n,Inanim,the name,n,Inanim
the centre of town was . the centre of town ? <mmm>,the centre of town ?,OF,town,Indef,n,Inanim,the centre,n,Inanim
Pat and I forget the name of the other girl it was in Eileen -,the name of the other girl,OF,the other girl,Def,n,Anim,the name,n,Inanim
very much . protes~ you know um church of England,church of England,OF,England,Def-pn,n,Inanim,church,n,Inanim
he was . minister of finance for a short time but he died .,minister of finance,OF,finance,Indef,n,Inanim,minister,n,Anim
taking on my husb~ my father's business .,my father's business .,S,my father,Def,n,Anim,business,n,Inanim
this Rata Kirk's place,Rata Kirk's place,S,Rata Kirk,Def-pn,n,Anim,place,n,Inanim
and that's when I . was taken down to Royd's brothers and Kirk,Royd's brothers,S,Royd,Def-pn,n,Anim,brothers,n,Anim
you just did it . from the goodness of your heart .,the goodness of your heart .,OF,your heart,Def,n,Inanim,the goodness,n,Inanim
I led a VERY busy life right up till the . time of my mother's death,the . time of my mother's death,OF,my mother's death,Def,n,Inanim,the time,n,Inanim
I led a VERY busy life right up till the . time of my mother's death,my mother's death,S,my mother,Def,n,Anim,death,n,Inanim
ohh . no no I I was always scared to go into other people's properties you know ah,other people's properties,S,other people,Indef,n,Anim,properties,n,Inanim
I mean I might have been delivering something from . mother's shop .,mother's shop .,S,mother,Indef,n,Anim,shop,n,Inanim
uh . was the brother-in-law of one of his friends,the brother-in-law of one of his friends,OF,one of his friends,Def,n,Anim,the brother-in-law,n,Anim
and uhh - but uhh it was the height of enjoyment for me I thought I was great .,the height of enjoyment,OF,enjoyment,Indef,n,Inanim,the height,n,Inanim
women's clothes I wasn't what you'd call a cross-dresser,women's clothes,S,women,Indef,n,Anim,clothes,n,Inanim
you know on the corner of Worcester Street and Manchester Street .,the corner of Worcester Street and Manchester Street .,OF,Worcester Street and Manchester Street,Def-pn,n,Inanim,the corner,n,Inanim
the wife of my . brother's scoutmaster wanted me .,the wife of my . brother's scoutmaster,OF,my brother's scoutmaster,Def,n,Anim,the wife,n,Anim
the wife of my . brother's scoutmaster wanted me .,my . brother's scoutmaster,S,my brother,Def,n,Anim,scoutmaster,n,Anim
